ENSG00000186092.6	OR4F5
ENSG00000284733.1	OR4F29
ENSG00000284662.1	OR4F16
ENSG00000187634.12	SAMD11
ENSG00000188976.11	NOC2L
ENSG00000187961.14	KLHL17
ENSG00000187583.10	PLEKHN1
ENSG00000187642.9	PERM1
ENSG00000188290.10	HES4
ENSG00000187608.10	ISG15
ENSG00000188157.15	AGRN
ENSG00000237330.3	RNF223
ENSG00000131591.17	C1orf159
ENSG00000162571.13	TTLL10
ENSG00000186891.14	TNFRSF18
ENSG00000186827.11	TNFRSF4
ENSG00000078808.17	SDF4
ENSG00000176022.7	B3GALT6
ENSG00000184163.3	C1QTNF12
ENSG00000160087.20	UBE2J2
ENSG00000162572.20	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000169972.12	PUSL1
ENSG00000127054.20	INTS11
ENSG00000224051.7	CPTP
ENSG00000169962.5	TAS1R3
ENSG00000107404.20	DVL1
ENSG00000162576.16	MXRA8
ENSG00000175756.13	AURKAIP1
ENSG00000221978.12	CCNL2
ENSG00000242485.6	MRPL20
ENSG00000235098.8	ANKRD65
ENSG00000205116.3	TMEM88B
ENSG00000179403.12	VWA1
ENSG00000215915.9	ATAD3C
ENSG00000160072.19	ATAD3B
ENSG00000197785.13	ATAD3A
ENSG00000205090.9	TMEM240
ENSG00000160075.12	SSU72
ENSG00000228594.4	FNDC10
ENSG00000197530.12	MIB2
ENSG00000189409.13	MMP23B
ENSG00000248333.8	CDK11B
ENSG00000189339.11	SLC35E2B
ENSG00000008128.23	CDK11A
ENSG00000215790.7	SLC35E2A
ENSG00000008130.15	NADK
ENSG00000078369.18	GNB1
ENSG00000169885.10	CALML6
ENSG00000178821.13	TMEM52
ENSG00000142609.18	CFAP74
ENSG00000187730.9	GABRD
ENSG00000067606.17	PRKCZ
ENSG00000162585.17	FAAP20
ENSG00000157933.10	SKI
ENSG00000116151.14	MORN1
ENSG00000157916.20	RER1
ENSG00000157911.10	PEX10
ENSG00000149527.18	PLCH2
ENSG00000157881.14	PANK4
ENSG00000197921.6	HES5
ENSG00000157873.17	TNFRSF14
ENSG00000157870.16	PRXL2B
ENSG00000142606.16	MMEL1
ENSG00000215912.12	TTC34
ENSG00000169717.6	ACTRT2
ENSG00000142611.17	PRDM16
ENSG00000130762.15	ARHGEF16
ENSG00000162591.16	MEGF6
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000078900.15	TP73
ENSG00000162592.10	CCDC27
ENSG00000235169.8	SMIM1
ENSG00000130764.10	LRRC47
ENSG00000116198.13	CEP104
ENSG00000169598.15	DFFB
ENSG00000198912.11	C1orf174
ENSG00000196581.10	AJAP1
ENSG00000131697.18	NPHP4
ENSG00000069424.15	KCNAB2
ENSG00000116254.18	CHD5
ENSG00000285629.1	AL031847.2
ENSG00000116251.11	RPL22
ENSG00000158286.13	RNF207
ENSG00000116237.16	ICMT
ENSG00000173673.7	HES3
ENSG00000158292.7	GPR153
ENSG00000097021.19	ACOT7
ENSG00000069812.11	HES2
ENSG00000187017.17	ESPN
ENSG00000215788.10	TNFRSF25
ENSG00000171680.21	PLEKHG5
ENSG00000162408.11	NOL9
ENSG00000173662.21	TAS1R1
ENSG00000204859.13	ZBTB48
ENSG00000162413.16	KLHL21
ENSG00000116273.6	PHF13
ENSG00000041988.15	THAP3
ENSG00000007923.16	DNAJC11
ENSG00000171735.19	CAMTA1
ENSG00000049245.13	VAMP3
ENSG00000049246.14	PER3
ENSG00000049247.13	UTS2
ENSG00000049249.8	TNFRSF9
ENSG00000116288.13	PARK7
ENSG00000116285.13	ERRFI1
ENSG00000162426.14	SLC45A1
ENSG00000142599.19	RERE
ENSG00000074800.16	ENO1
ENSG00000131686.15	CA6
ENSG00000197241.3	SLC2A7
ENSG00000142583.17	SLC2A5
ENSG00000180758.12	GPR157
ENSG00000049239.12	H6PD
ENSG00000171621.14	SPSB1
ENSG00000171612.7	SLC25A33
ENSG00000188807.13	TMEM201
ENSG00000171608.15	PIK3CD
ENSG00000171603.17	CLSTN1
ENSG00000178585.15	CTNNBIP1
ENSG00000162441.12	LZIC
ENSG00000173614.14	NMNAT1
ENSG00000162444.12	RBP7
ENSG00000130939.19	UBE4B
ENSG00000054523.17	KIF1B
ENSG00000142657.21	PGD
ENSG00000251503.8	CENPS-CORT
ENSG00000175279.22	CENPS
ENSG00000241563.3	CORT
ENSG00000160049.12	DFFA
ENSG00000142655.13	PEX14
ENSG00000130940.15	CASZ1
ENSG00000175262.14	C1orf127
ENSG00000120948.17	TARDBP
ENSG00000277726.4	AL109811.3
ENSG00000009724.16	MASP2
ENSG00000116649.10	SRM
ENSG00000171824.14	EXOSC10
ENSG00000198793.12	MTOR
ENSG00000171819.5	ANGPTL7
ENSG00000120942.13	UBIAD1
ENSG00000204624.8	DISP3
ENSG00000116661.11	FBXO2
ENSG00000132879.14	FBXO44
ENSG00000116663.11	FBXO6
ENSG00000116670.15	MAD2L2
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000215910.7	C1orf167
ENSG00000177000.12	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000175206.10	NPPA
ENSG00000120937.9	NPPB
ENSG00000116685.16	KIAA2013
ENSG00000083444.17	PLOD1
ENSG00000116688.16	MFN2
ENSG00000116691.11	MIIP
ENSG00000120949.15	TNFRSF8
ENSG00000028137.19	TNFRSF1B
ENSG00000048707.15	VPS13D
ENSG00000162496.9	DHRS3
ENSG00000204518.2	AADACL4
ENSG00000188984.12	AADACL3
ENSG00000157330.10	C1orf158
ENSG00000116726.4	PRAMEF12
ENSG00000116721.9	PRAMEF1
ENSG00000239810.3	PRAMEF11
ENSG00000179172.9	HNRNPCL1
ENSG00000120952.4	PRAMEF2
ENSG00000243073.3	PRAMEF4
ENSG00000187545.5	PRAMEF10
ENSG00000204510.5	PRAMEF7
ENSG00000232423.6	PRAMEF6
ENSG00000274764.5	PRAMEF27
ENSG00000277058.2	HNRNPCL3
ENSG00000229571.7	PRAMEF25
ENSG00000275774.2	HNRNPCL2
ENSG00000280267.4	PRAMEF26
ENSG00000179412.10	HNRNPCL4
ENSG00000204505.4	PRAMEF9
ENSG00000279169.2	PRAMEF13
ENSG00000279804.2	PRAMEF18
ENSG00000270601.4	PRAMEF5
ENSG00000182330.10	PRAMEF8
ENSG00000237700.2	PRAMEF33
ENSG00000204501.7	PRAMEF15
ENSG00000204481.7	PRAMEF14
ENSG00000204480.8	PRAMEF19
ENSG00000204479.4	PRAMEF17
ENSG00000204478.9	PRAMEF20
ENSG00000162494.6	LRRC38
ENSG00000162493.16	PDPN
ENSG00000116731.22	PRDM2
ENSG00000189337.17	KAZN
ENSG00000171729.14	TMEM51
ENSG00000142621.19	FHAD1
ENSG00000142634.13	EFHD2
ENSG00000162438.11	CTRC
ENSG00000142615.8	CELA2A
ENSG00000215704.9	CELA2B
ENSG00000132906.18	CASP9
ENSG00000116138.13	DNAJC16
ENSG00000116771.6	AGMAT
ENSG00000197312.12	DDI2
ENSG00000215695.1	RSC1A1
ENSG00000116786.13	PLEKHM2
ENSG00000162461.8	SLC25A34
ENSG00000162460.7	TMEM82
ENSG00000162458.13	FBLIM1
ENSG00000233954.6	UQCRHL
ENSG00000065526.11	SPEN
ENSG00000116809.11	ZBTB17
ENSG00000183888.4	SRARP
ENSG00000173641.17	HSPB7
ENSG00000186510.12	CLCNKA
ENSG00000184908.17	CLCNKB
ENSG00000185519.9	FAM131C
ENSG00000142627.13	EPHA2
ENSG00000142632.17	ARHGEF19
ENSG00000132881.12	CPLANE2
ENSG00000037637.11	FBXO42
ENSG00000055070.17	SZRD1
ENSG00000187144.11	SPATA21
ENSG00000157191.20	NECAP2
ENSG00000219481.10	NBPF1
ENSG00000058453.17	CROCC
ENSG00000117122.13	MFAP2
ENSG00000159363.18	ATP13A2
ENSG00000117118.9	SDHB
ENSG00000117115.13	PADI2
ENSG00000142623.11	PADI1
ENSG00000142619.4	PADI3
ENSG00000159339.13	PADI4
ENSG00000276747.1	PADI6
ENSG00000179051.14	RCC2
ENSG00000074964.17	ARHGEF10L
ENSG00000117148.8	ACTL8
ENSG00000117154.12	IGSF21
ENSG00000179023.8	KLHDC7A
ENSG00000009709.12	PAX7
ENSG00000179002.5	TAS1R2
ENSG00000159423.17	ALDH4A1
ENSG00000169991.11	IFFO2
ENSG00000127481.15	UBR4
ENSG00000127463.15	EMC1
ENSG00000053372.5	MRTO4
ENSG00000162482.5	AKR7A3
ENSG00000053371.12	AKR7A2
ENSG00000040487.13	PQLC2
ENSG00000077549.18	CAPZB
ENSG00000173436.15	MICOS10
ENSG00000158747.14	NBL1
ENSG00000270136.6	MICOS10-NBL1
ENSG00000158748.4	HTR6
ENSG00000162542.13	TMCO4
ENSG00000178828.7	RNF186
ENSG00000169914.6	OTUD3
ENSG00000188784.4	PLA2G2E
ENSG00000188257.11	PLA2G2A
ENSG00000127472.11	PLA2G5
ENSG00000117215.14	PLA2G2D
ENSG00000158786.4	PLA2G2F
ENSG00000187980.6	PLA2G2C
ENSG00000162543.6	UBXN10
ENSG00000158816.15	VWA5B1
ENSG00000162545.6	CAMK2N1
ENSG00000090432.7	MUL1
ENSG00000183114.8	FAM43B
ENSG00000158825.6	CDA
ENSG00000158828.8	PINK1
ENSG00000244038.9	DDOST
ENSG00000117245.12	KIF17
ENSG00000189410.12	SH2D5
ENSG00000127483.18	HP1BP3
ENSG00000075151.20	EIF4G3
ENSG00000117298.16	ECE1
ENSG00000142794.18	NBPF3
ENSG00000162551.14	ALPL
ENSG00000076864.19	RAP1GAP
ENSG00000090686.15	USP48
ENSG00000187942.11	LDLRAD2
ENSG00000142798.20	HSPG2
ENSG00000219073.7	CELA3B
ENSG00000142789.19	CELA3A
ENSG00000070831.17	CDC42
ENSG00000162552.15	WNT4
ENSG00000184677.18	ZBTB40
ENSG00000070886.12	EPHA8
ENSG00000173372.17	C1QA
ENSG00000159189.12	C1QC
ENSG00000173369.16	C1QB
ENSG00000133216.16	EPHB2
ENSG00000215906.8	LACTBL1
ENSG00000227868.6	TEX46
ENSG00000004487.16	KDM1A
ENSG00000169641.13	LUZP1
ENSG00000179546.4	HTR1D
ENSG00000125944.20	HNRNPR
ENSG00000125945.15	ZNF436
ENSG00000204219.10	TCEA3
ENSG00000088280.19	ASAP3
ENSG00000007968.7	E2F2
ENSG00000117318.9	ID3
ENSG00000142676.14	RPL11
ENSG00000011007.12	ELOA
ENSG00000057757.10	PITHD1
ENSG00000011009.11	LYPLA2
ENSG00000117308.15	GALE
ENSG00000117305.15	HMGCL
ENSG00000179163.11	FUCA1
ENSG00000188822.8	CNR2
ENSG00000189266.13	PNRC2
ENSG00000188529.14	SRSF10
ENSG00000142661.19	MYOM3
ENSG00000142677.4	IL22RA1
ENSG00000185436.12	IFNLR1
ENSG00000158055.15	GRHL3
ENSG00000001460.18	STPG1
ENSG00000001461.17	NIPAL3
ENSG00000117602.12	RCAN3
ENSG00000184454.7	NCMAP
ENSG00000133226.17	SRRM1
ENSG00000169504.15	CLIC4
ENSG00000020633.18	RUNX3
ENSG00000117614.10	SYF2
ENSG00000117616.18	RSRP1
ENSG00000187010.21	RHD
ENSG00000183726.11	TMEM50A
ENSG00000188672.18	RHCE
ENSG00000204178.11	MACO1
ENSG00000157978.11	LDLRAP1
ENSG00000117643.14	MAN1C1
ENSG00000162430.17	SELENON
ENSG00000255054.3	AL020996.2
ENSG00000117640.18	MTFR1L
ENSG00000127423.10	AUNIP
ENSG00000182749.5	PAQR7
ENSG00000117632.23	STMN1
ENSG00000158006.14	PAFAH2
ENSG00000158008.9	EXTL1
ENSG00000158014.14	SLC30A2
ENSG00000158022.6	TRIM63
ENSG00000175087.10	PDIK1L
ENSG00000197245.6	FAM110D
ENSG00000282872.1	C1orf232
ENSG00000236782.7	AL391650.1
ENSG00000142684.9	ZNF593
ENSG00000142675.18	CNKSR1
ENSG00000188782.8	CATSPER4
ENSG00000130695.15	CEP85
ENSG00000142669.15	SH3BGRL3
ENSG00000158062.20	UBXN11
ENSG00000169442.9	CD52
ENSG00000176092.15	CRYBG2
ENSG00000176083.17	ZNF683
ENSG00000131914.11	LIN28A
ENSG00000117682.17	DHDDS
ENSG00000198830.11	HMGN2
ENSG00000117676.14	RPS6KA1
ENSG00000117713.20	ARID1A
ENSG00000060642.10	PIGV
ENSG00000204160.12	ZDHHC18
ENSG00000175793.12	SFN
ENSG00000142751.15	GPN2
ENSG00000198746.13	GPATCH3
ENSG00000090273.14	NUDC
ENSG00000131910.5	NR0B2
ENSG00000175707.9	KDF1
ENSG00000253368.4	TRNP1
ENSG00000158246.8	TENT5B
ENSG00000090020.11	SLC9A1
ENSG00000142784.16	WDTC1
ENSG00000186501.14	TMEM222
ENSG00000142765.18	SYTL1
ENSG00000142733.17	MAP3K6
ENSG00000142748.12	FCN3
ENSG00000174950.11	CD164L2
ENSG00000181773.7	GPR3
ENSG00000158195.11	WASF2
ENSG00000126705.14	AHDC1
ENSG00000000938.13	FGR
ENSG00000126709.15	IFI6
ENSG00000009780.15	FAM76A
ENSG00000117758.14	STX12
ENSG00000117751.18	PPP1R8
ENSG00000130775.16	THEMIS2
ENSG00000117748.10	RPA2
ENSG00000130768.15	SMPDL3B
ENSG00000158156.7	XKR8
ENSG00000158161.16	EYA3
ENSG00000169403.12	PTAFR
ENSG00000126698.11	DNAJC8
ENSG00000130770.18	ATP5IF1
ENSG00000130766.5	SESN2
ENSG00000130772.14	MED18
ENSG00000204138.13	PHACTR4
ENSG00000180198.16	RCC1
ENSG00000180098.9	TRNAU1AP
ENSG00000120656.11	TAF12
ENSG00000188060.7	RAB42
ENSG00000162419.12	GMEB1
ENSG00000198492.16	YTHDF2
ENSG00000116329.11	OPRD1
ENSG00000159023.21	EPB41
ENSG00000253304.2	TMEM200B
ENSG00000116350.17	SRSF4
ENSG00000116353.15	MECR
ENSG00000060656.20	PTPRU
ENSG00000162510.6	MATN1
ENSG00000162511.8	LAPTM5
ENSG00000162512.16	SDC3
ENSG00000134644.15	PUM1
ENSG00000084628.10	NKAIN1
ENSG00000060688.13	SNRNP40
ENSG00000121766.15	ZCCHC17
ENSG00000121769.7	FABP3
ENSG00000168528.12	SERINC2
ENSG00000142910.16	TINAGL1
ENSG00000121764.11	HCRTR1
ENSG00000162517.13	PEF1
ENSG00000084636.18	COL16A1
ENSG00000121753.12	ADGRB2
ENSG00000134668.12	SPOCD1
ENSG00000184007.21	PTP4A2
ENSG00000121774.18	KHDRBS1
ENSG00000121775.18	TMEM39B
ENSG00000025800.14	KPNA6
ENSG00000084652.16	TXLNA
ENSG00000160050.14	CCDC28B
ENSG00000160051.11	IQCC
ENSG00000222046.2	DCDC2B
ENSG00000160055.19	TMEM234
ENSG00000084623.11	EIF3I
ENSG00000183615.6	FAM167B
ENSG00000182866.17	LCK
ENSG00000116478.12	HDAC1
ENSG00000175130.7	MARCKSL1
ENSG00000162526.7	TSSK3
ENSG00000225828.1	FAM229A
ENSG00000160058.18	BSDC1
ENSG00000254553.1	AL033529.1
ENSG00000273274.2	ZBTB8B
ENSG00000160062.15	ZBTB8A
ENSG00000176261.15	ZBTB8OS
ENSG00000162521.19	RBBP4
ENSG00000162520.14	SYNC
ENSG00000162522.11	KIAA1522
ENSG00000134684.10	YARS
ENSG00000116497.18	S100PBP
ENSG00000160097.18	FNDC5
ENSG00000121905.10	HPCA
ENSG00000121900.19	TMEM54
ENSG00000116514.16	RNF19B
ENSG00000004455.16	AK2
ENSG00000142920.17	AZIN2
ENSG00000116525.14	TRIM62
ENSG00000160094.15	ZNF362
ENSG00000184389.9	A3GALT2
ENSG00000134686.18	PHC2
ENSG00000121903.14	ZSCAN20
ENSG00000121904.17	CSMD2
ENSG00000176256.10	HMGB4
ENSG00000142698.15	C1orf94
ENSG00000163866.9	SMIM12
ENSG00000189280.3	GJB5
ENSG00000189433.7	GJB4
ENSG00000188910.8	GJB3
ENSG00000187513.9	GJA4
ENSG00000116544.12	DLGAP3
ENSG00000284773.1	AC114490.3
ENSG00000271741.1	AC114490.2
ENSG00000243749.1	TMEM35B
ENSG00000163867.17	ZMYM6
ENSG00000197056.11	ZMYM1
ENSG00000116560.11	SFPQ
ENSG00000146463.11	ZMYM4
ENSG00000142687.18	KIAA0319L
ENSG00000020129.16	NCDN
ENSG00000116819.8	TFAP2E
ENSG00000126067.12	PSMB2
ENSG00000142686.8	C1orf216
ENSG00000092853.14	CLSPN
ENSG00000134698.11	AGO4
ENSG00000092847.12	AGO1
ENSG00000126070.20	AGO3
ENSG00000092850.12	TEKT2
ENSG00000116863.11	ADPRHL2
ENSG00000171812.13	COL8A2
ENSG00000054116.12	TRAPPC3
ENSG00000116871.15	MAP7D1
ENSG00000054118.15	THRAP3
ENSG00000214193.10	SH3D21
ENSG00000142694.6	EVA1B
ENSG00000196182.10	STK40
ENSG00000181817.6	LSM10
ENSG00000116885.18	OSCP1
ENSG00000116898.12	MRPS15
ENSG00000119535.17	CSF3R
ENSG00000163873.10	GRIK3
ENSG00000163874.11	ZC3H12A
ENSG00000163875.15	MEAF6
ENSG00000163877.11	SNIP1
ENSG00000163879.11	DNALI1
ENSG00000134697.13	GNL2
ENSG00000169218.14	RSPO1
ENSG00000116922.14	C1orf109
ENSG00000134690.11	CDCA8
ENSG00000183317.17	EPHA10
ENSG00000185090.14	MANEAL
ENSG00000196449.4	YRDC
ENSG00000197982.14	C1orf122
ENSG00000188786.10	MTF1
ENSG00000204084.13	INPP5B
ENSG00000183431.12	SF3A3
ENSG00000183386.10	FHL3
ENSG00000183520.12	UTP11
ENSG00000185668.7	POU3F1
ENSG00000116954.8	RRAGC
ENSG00000214114.9	MYCBP
ENSG00000274944.4	AL139260.3
ENSG00000131233.9	GJA9
ENSG00000158315.11	RHBDL2
ENSG00000174574.16	AKIRIN1
ENSG00000168653.11	NDUFS5
ENSG00000127603.26	MACF1
ENSG00000183682.8	BMP8A
ENSG00000090621.14	PABPC4
ENSG00000163909.8	HEYL
ENSG00000116981.3	NT5C1A
ENSG00000116983.13	HPCAL4
ENSG00000084072.16	PPIE
ENSG00000116985.12	BMP8B
ENSG00000198754.5	OXCT2
ENSG00000043514.16	TRIT1
ENSG00000116990.11	MYCL
ENSG00000168389.17	MFSD2A
ENSG00000131236.17	CAP1
ENSG00000131238.17	PPT1
ENSG00000117000.9	RLF
ENSG00000188800.6	TMCO2
ENSG00000084073.9	ZMPSTE24
ENSG00000049089.15	COL9A2
ENSG00000084070.12	SMAP2
ENSG00000187801.15	ZFP69B
ENSG00000187815.10	ZFP69
ENSG00000164002.11	EXO5
ENSG00000117010.17	ZNF684
ENSG00000117016.10	RIMS3
ENSG00000066136.20	NFYC
ENSG00000117013.17	KCNQ4
ENSG00000179862.6	CITED4
ENSG00000171793.16	CTPS1
ENSG00000171790.15	SLFNL1
ENSG00000010803.16	SCMH1
ENSG00000204060.7	FOXO6
ENSG00000127129.10	EDN2
ENSG00000127124.16	HIVEP3
ENSG00000284895.1	AC119676.1
ENSG00000044012.4	GUCA2B
ENSG00000197273.4	GUCA2A
ENSG00000198815.9	FOXJ3
ENSG00000177181.15	RIMKLA
ENSG00000066185.13	ZMYND12
ENSG00000127125.9	PPCS
ENSG00000186409.17	CCDC30
ENSG00000171960.11	PPIH
ENSG00000065978.19	YBX1
ENSG00000164007.10	CLDN19
ENSG00000117385.15	P3H1
ENSG00000164008.16	C1orf50
ENSG00000283580.3	AC098484.3
ENSG00000274386.5	TMEM269
ENSG00000177868.12	SVBP
ENSG00000164010.15	ERMAP
ENSG00000164011.18	ZNF691
ENSG00000117394.22	SLC2A1
ENSG00000186973.11	FAM183A
ENSG00000117395.12	EBNA1BP2
ENSG00000243710.7	CFAP57
ENSG00000179178.11	TMEM125
ENSG00000253313.5	C1orf210
ENSG00000066056.14	TIE1
ENSG00000117400.17	MPL
ENSG00000117399.14	CDC20
ENSG00000066322.15	ELOVL1
ENSG00000159479.17	MED8
ENSG00000198198.16	SZT2
ENSG00000178922.16	HYI
ENSG00000142949.17	PTPRF
ENSG00000066135.13	KDM4A
ENSG00000284989.1	AL451062.3
ENSG00000126091.20	ST3GAL3
ENSG00000117407.17	ARTN
ENSG00000117408.11	IPO13
ENSG00000132768.14	DPH2
ENSG00000117410.14	ATP6V0B
ENSG00000117411.16	B4GALT2
ENSG00000159214.13	CCDC24
ENSG00000196517.11	SLC6A9
ENSG00000171872.4	KLF17
ENSG00000283039.1	KLF18
ENSG00000178028.14	DMAP1
ENSG00000117419.15	ERI3
ENSG00000187147.18	RNF220
ENSG00000126106.14	TMEM53
ENSG00000198520.12	ARMH1
ENSG00000142945.13	KIF2C
ENSG00000142937.12	RPS8
ENSG00000142959.5	BEST4
ENSG00000173846.13	PLK3
ENSG00000188396.3	TCTEX1D4
ENSG00000222009.8	BTBD19
ENSG00000117425.14	PTCH2
ENSG00000070785.16	EIF2B3
ENSG00000126107.15	HECTD3
ENSG00000126088.14	UROD
ENSG00000162415.7	ZSWIM5
ENSG00000186603.5	HPDL
ENSG00000132781.17	MUTYH
ENSG00000132773.12	TOE1
ENSG00000070759.17	TESK2
ENSG00000280670.3	CCDC163
ENSG00000132763.15	MMACHC
ENSG00000117450.14	PRDX1
ENSG00000117448.13	AKR1A1
ENSG00000132780.17	NASP
ENSG00000159588.15	CCDC17
ENSG00000159592.11	GPBP1L1
ENSG00000159596.7	TMEM69
ENSG00000197429.10	IPP
ENSG00000086015.21	MAST2
ENSG00000117461.15	PIK3R3
ENSG00000278139.1	AL358075.4
ENSG00000117472.10	TSPAN1
ENSG00000250719.1	P3R3URF
ENSG00000085998.14	POMGNT1
ENSG00000171357.6	LURAP1
ENSG00000085999.13	RAD54L
ENSG00000132128.16	LRRC41
ENSG00000173660.12	UQCRH
ENSG00000117481.10	NSUN4
ENSG00000117480.16	FAAH
ENSG00000197587.10	DMBX1
ENSG00000282881.2	TMEM275
ENSG00000162456.9	KNCN
ENSG00000079277.21	MKNK1
ENSG00000142961.14	MOB3C
ENSG00000123472.12	ATPAF1
ENSG00000186118.8	TEX38
ENSG00000159658.11	EFCAB14
ENSG00000142973.13	CYP4B1
ENSG00000187048.13	CYP4A11
ENSG00000186377.8	CYP4X1
ENSG00000186160.5	CYP4Z1
ENSG00000162365.12	CYP4A22
