ENSMUSG00000051951.5	Xkr4
ENSMUSG00000025900.12	Rp1
ENSMUSG00000025902.13	Sox17
ENSMUSG00000033845.13	Mrpl15
ENSMUSG00000025903.14	Lypla1
ENSMUSG00000104217.1	Gm37988
ENSMUSG00000033813.15	Tcea1
ENSMUSG00000002459.17	Rgs20
ENSMUSG00000033793.12	Atp6v1h
ENSMUSG00000025905.13	Oprk1
ENSMUSG00000033774.4	Npbwr1
ENSMUSG00000025907.14	Rb1cc1
ENSMUSG00000087247.3	Alkal1
ENSMUSG00000033740.17	St18
ENSMUSG00000051285.17	Pcmtd1
ENSMUSG00000025909.16	Sntg1
ENSMUSG00000061024.8	Rrs1
ENSMUSG00000025911.14	Adhfe1
ENSMUSG00000067879.3	Vxn
ENSMUSG00000025912.16	Mybl1
ENSMUSG00000045210.8	Vcpip1
ENSMUSG00000025915.14	Sgk3
ENSMUSG00000046101.16	Mcmdc2
ENSMUSG00000099032.2	Tcf24
ENSMUSG00000025916.10	Ppp1r42
ENSMUSG00000025917.9	Cops5
ENSMUSG00000056763.16	Cspp1
ENSMUSG00000067851.11	Arfgef1
ENSMUSG00000042501.12	Cpa6
ENSMUSG00000048960.13	Prex2
ENSMUSG00000057715.13	A830018L16Rik
ENSMUSG00000016918.15	Sulf1
ENSMUSG00000025938.16	Slco5a1
ENSMUSG00000042414.7	Prdm14
ENSMUSG00000005886.14	Ncoa2
ENSMUSG00000025935.10	Tram1
ENSMUSG00000025937.6	Lactb2
ENSMUSG00000067813.3	Xkr9
ENSMUSG00000025932.14	Eya1
ENSMUSG00000025930.6	Msc
ENSMUSG00000032769.4	Trpa1
ENSMUSG00000092083.4	Kcnb2
ENSMUSG00000025925.14	Terf1
ENSMUSG00000032719.4	Sbspon
ENSMUSG00000067795.13	4930444P10Rik
ENSMUSG00000043716.13	Rpl7
ENSMUSG00000025921.7	Rdh10
ENSMUSG00000025920.19	Stau2
ENSMUSG00000025939.17	Ube2w
ENSMUSG00000079658.9	Eloc
ENSMUSG00000025940.6	Tmem70
ENSMUSG00000025779.10	Ly96
